number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs
,,,,,action_noise,actor_lr,batch_size,buffer_size,critic_lr,gamma,k,tau,_number
0,TrialState.COMPLETE,10.0,2019-08-13 12:27:54.792778,2019-08-13 12:41:32.326060,0.23608897695197606,0.001,32,100000,0.1,0.999,8,0.005,0
1,TrialState.COMPLETE,1.85,2019-08-13 12:41:32.326792,2019-08-13 12:43:34.418202,0.4191945144032948,0.0005,32,1000000,0.001,0.95,5,0.001,1
2,TrialState.COMPLETE,10.0,2019-08-13 12:43:34.419117,2019-08-13 13:00:49.364203,0.534413908947017,0.005,64,10000,0.001,0.98,6,0.001,2
3,TrialState.COMPLETE,10.0,2019-08-13 13:00:49.365345,2019-08-13 13:12:29.123677,0.7159705159683643,0.05,16,1000000,0.0001,0.995,6,0.05,3
4,TrialState.COMPLETE,10.0,2019-08-13 13:12:29.124981,2019-08-13 13:24:02.337638,0.08504421136977791,0.05,16,10000,0.05,0.999,2,0.0001,4
5,TrialState.COMPLETE,10.0,2019-08-13 13:24:02.339205,2019-08-13 13:35:55.966189,0.42110762500505217,0.01,16,1000000,0.05,0.999,8,0.005,5
6,TrialState.COMPLETE,10.0,2019-08-13 13:35:55.967845,2019-08-13 14:09:32.229076,0.14212013547495694,0.05,256,10000,0.005,0.999,2,0.05,6
7,TrialState.COMPLETE,10.0,2019-08-13 14:09:32.231091,2019-08-13 14:32:10.959536,0.9888610889064947,0.1,128,100000,0.0005,0.98,4,0.001,7
8,TrialState.COMPLETE,10.0,2019-08-13 14:32:10.961641,2019-08-13 14:45:59.876589,0.9085955030930956,0.01,32,10000,0.01,0.995,7,0.05,8
9,TrialState.COMPLETE,0.95,2019-08-13 14:45:59.879178,2019-08-13 14:47:45.141539,0.9104483817931015,0.001,32,1000000,0.005,0.9999,1,0.0005,9
10,TrialState.COMPLETE,10.0,2019-08-13 14:47:45.144109,2019-08-13 15:05:23.172967,0.23101542221258897,0.005,64,1000000,0.001,0.98,7,0.05,10
11,TrialState.COMPLETE,3.75,2019-08-13 15:05:23.175601,2019-08-13 15:14:21.027853,0.5358964059155116,0.0005,16,10000,0.005,0.95,6,0.05,11
12,TrialState.COMPLETE,1.55,2019-08-13 15:14:21.030748,2019-08-13 15:18:58.879587,0.9034019152878835,0.0001,256,100000,0.01,0.995,4,0.0005,12
13,TrialState.COMPLETE,0.55,2019-08-13 15:18:58.882707,2019-08-13 15:20:22.343414,0.5384246942799851,0.001,256,1000000,0.005,0.9,5,0.005,13
14,TrialState.COMPLETE,10.0,2019-08-13 15:20:22.346584,2019-08-13 16:05:45.517654,0.7259979853504515,0.05,256,1000000,0.1,0.999,1,0.001,14
15,TrialState.COMPLETE,9.55,2019-08-13 16:05:45.522448,2019-08-13 16:30:51.896800,0.35653172355805496,0.05,64,10000,0.1,0.995,5,0.05,15
16,TrialState.COMPLETE,10.0,2019-08-13 16:30:51.924491,2019-08-13 16:46:14.162449,0.6216957202091218,0.001,16,1000000,0.05,0.95,4,0.0001,16
17,TrialState.COMPLETE,10.0,2019-08-13 16:46:14.170968,2019-08-13 16:59:27.380239,0.379803286768697,0.01,16,100000,0.01,0.995,4,0.001,17
18,TrialState.COMPLETE,1.05,2019-08-13 16:59:27.387059,2019-08-13 17:00:39.358148,0.5786339307357229,0.0001,32,1000000,0.0005,0.98,5,0.1,18
19,TrialState.COMPLETE,10.0,2019-08-13 17:00:39.362746,2019-08-13 17:19:56.323836,0.6233601157918027,0.0005,64,100000,0.05,0.9999,6,0.0005,19
20,TrialState.COMPLETE,10.0,2019-08-13 17:19:56.333061,2019-08-13 17:31:56.891988,0.13713574962887776,0.1,16,100000,0.05,0.9,4,0.0005,20
